id,year,month,title,series,thumbnail,writer,penciler,inker,letterer,description,grade,for sale
73989,1953,3,Battlefield  #9,Battlefield,http://i.annihil.us/u/prod/marvel/i/mg/4/d0/5bee0aefd1db4/portrait_uncanny.jpg,Various,Carl Burgos,,,Professor Prael’s resolve is tested like never before when he finds himself kidnapped by communists after being lured to East Berlin!,,$150.00
11281,1959,7,Tales of Suspense  #4,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/3/80/536d805b73a65/portrait_uncanny.jpg,"Stan Lee, Larry Lieber","Jack Kirby, Al Williamson","Carl Burgos, Steve Ditko, Christopher Rule, Joe Sinnott",Art Simek,An alien agent is deployed to Earth to destroy a rocket ship that would give humans the ability to travel to his planet.,,
18576,1960,8,Two-Gun Kid  #55,Two-Gun Kid,https://i.imgur.com/ZO2soCX.jpeg,,"Jack Kirby, John Severin",Dick Ayers,,None,,$100.00
11170,1961,8,Strange Tales  #87,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/6/60/65f1c165b52f5/portrait_uncanny.jpg,"Stan Lee, Larry Lieber",Jack Kirby,Dick Ayers,Art Simek,,,
22141,1962,1,Strange Tales Annual  #1,Strange Tales Annual,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/65f1c47cdfda9/portrait_uncanny.jpg,,,,,,,
11178,1962,3,Strange Tales  #94,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5d962106f14cc/portrait_uncanny.jpg,"Stan Lee, Larry Lieber",Jack Kirby,"Dick Ayers, Joe Sinnott",Art Simek,"Four bizarre supernatural tales featuring: an alien traveler from the future, a killer weed monster, space pirate Pildorr the Plunderer, and a sentient spaceship!",,
13227,1962,5,Fantastic Four  #4,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/9/90/536d717b9e4ba/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Sol Brodsky,Art Simek,"The First Marvel Age Appearance of Namor!  The Sub-Mariner has returned! Calling upon his mighty sea creature army, he will have his revenge on the human race. It's up to the Fantastic Four to stop him.","CGC qualified 3.5, missing pinup included","$1,000.00"
11183,1962,8,Strange Tales  #99,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/6/80/65f1c2199be15/portrait_uncanny.jpg,"Stan Lee, Larry Lieber",Jack Kirby,Dick Ayers,,,,
11273,1962,8,Tales of Suspense  #32,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/5/80/582fa0b05214c/portrait_uncanny.jpg,,"Steve Ditko, Don Heck, Jack Kirby",Dick Ayers,,An assistant beekeeper is in for the sting of his life -- when he is shrunk down to insect-size!,,
13266,1962,9,Fantastic Four  #6,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/536d70426aa5a/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Christopher Rule,,Doctor Doom and the Sub-Mariner have joined forces to stop the Fantastic Four once and for all. But can the Sub-Mariner's hatred of all humans be tamed by the beauty of Sue Storm?,CGC 5.0,"$1,500.00"
9781,1962,10,Journey Into Mystery  #85,Journey Into Mystery,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/5a7b1f60bfc24/portrait_uncanny.jpg,"Stan Lee, Larry Lieber",Jack Kirby,Dick Ayers,Art Simek,"Never before has the mighty Thor faced a foe as dangerous as Loki, the God of Mischief! The Thor family expands with the first appearances of Asgard, Loki and Heimdall! When Loki travels to Earth, the trickster god will stop at nothing to get revenge on his hated brother Thor, including unleashing his magic on the helpless mortals!",,
11275,1962,10,Tales of Suspense  #34,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/9/f0/582fa089aee57/portrait_uncanny.jpg,,"Steve Ditko, Don Heck, Jack Kirby",Dick Ayers,,What is the secret of the blue glass bottle?,,
11020,1962,11,Strange Tales  #102,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4bc371b4181c8/portrait_uncanny.jpg,"Stan Lee, Larry Lieber","Steve Ditko, Jack Kirby",Dick Ayers,Art Simek,"As the Human Torch makes headlines, the Wizard blames him for his recent loss in popularity. A jealous Wizard tricks and traps the Torch in his house! (note: this issue only contains the Human Torch story)",,
18581,1962,11,Two-Gun Kid  #60,Two-Gun Kid,http://i.annihil.us/u/prod/marvel/i/mg/a/20/4bb67779c4a7f/portrait_uncanny.jpg,,"Don Heck, Jack Kirby",Dick Ayers,,An American Western rolled into a comic!,,$100.00
13299,1962,12,Fantastic Four  #9,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/9/80/536d6ae87b0f2/portrait_uncanny.jpg,Stan Lee,,,Dick Ayers,"When the Fantastic Four go bankrupt, they're invited to S.M. Studios to make the movie about their life in order to recoup their funding. Little do they know that S.M. Studios is owned by one of their greatest enemies!",,
12895,1963,1,Fantastic Four  #10,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/536d6a4d7bd38/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Dick Ayers,,Dr. Doom impersonates Reed Richards so that he may use Richards' shrink ray to finally defeat the Fantastic Four!,CGC 5.5,$500.00
11022,1963,1,Strange Tales  #104,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4bc371be37330/portrait_uncanny.jpg,"Stan Lee, Larry Lieber","Steve Ditko, Jack Kirby",Dick Ayers,Art Simek,"Johnny Storm must stop Paste-Pot Pete from robbing a bank! Talk about ""sticky fingers""! (note: this issue only contains the Human Torch story)",,
9787,1963,3,Journey Into Mystery  #90,Journey Into Mystery,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5a7b3133c5880/portrait_uncanny.jpg,,,,,,,
11280,1963,3,Tales of Suspense  #39,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/536d69b8ae3b4/portrait_uncanny.jpg,"Stan Lee, Larry Lieber",,"Gene Colan, Steve Ditko, Don Heck",Art Simek,The First Appearance of Iron Man!  Watch his awesome approach! Listen to his ponderous footsteps as he lumbers closer... closer...for today you are destined to encounter - THE INVINCIBLE IRON MAN!,,
12928,1963,4,Fantastic Four  #13,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/5aa96523e19d7/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Steve Ditko,Art Simek,"The enigmatic Watcher makes his debut in this very issue!  On a mission to the moon, the Fantastic Four meet Uatu, better known as the Watcher, who is tasked to watch humanity but never intervene in their affairs.  And on the way to the moon, the FF see a nearby Russian ship being hit by cosmic rays and the Russian crew are affected in a startling way!",,
11282,1963,4,Tales of Suspense  #40,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/7/70/5e386ff0973e7/portrait_uncanny.jpg,"Robert Bernstein, Stan Lee","Jack Kirby, Larry Lieber","Sol Brodsky, Steve Ditko, Don Heck","Jon Dagostino, Art Simek","Gray goes gold when Tony Stark gives his armor a new look, just in time to face a prehistoric powerhouse! Iron Man vs. his first super-powered opponent!  (Originally published as TALES OF SUSPENSE (1963) #40)",,
11026,1963,5,Strange Tales  #108,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/5/b0/4bc371d21317d/portrait_uncanny.jpg,"Robert Bernstein, Stan Lee","Steve Ditko, Jack Kirby",Dick Ayers,,"Gangster Tobin learns that the Human Torch is investigating him. Tobin then teams up with another foe of the Human Torch, the Painter, to end him once and for all! (note: this issue only contains the Human Torch story)",,
12950,1963,6,Fantastic Four  #15,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/536d67d7a6017/portrait_uncanny.jpg,Stan Lee,,Dick Ayers,"Art Simek, Artie Simek","The Fantastic Four battle the Mad Thinker and his awesome Android! The Android...neither animal, nor vegetable, nor mineral...what is it?!",,
22142,1963,6,Strange Tales Annual  #2,Strange Tales Annual,http://i.annihil.us/u/prod/marvel/i/mg/7/00/4bb6378f939b2/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Steve Ditko,Art Simek,"A jealous Human Torch wanted to derail Spidey's day, but now the hothead is helping the Wall-Crawler take down notorious art thief, The Fox!",,
12961,1963,7,Fantastic Four  #16,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/a/10/5aa977c8eb358/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Dick Ayers,"Art Simek, Artie Simek",None,,
11285,1963,7,Tales of Suspense  #43,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/f/70/5e3980c120200/portrait_uncanny.jpg,"Robert Bernstein, Stan Lee","Jack Kirby, Larry Lieber","Dick Ayers, Steve Ditko, Don Heck",Art Simek,Iron Man battles a menace to Earth...which comes from within it! Nemesis from the Netherworld! (Originally published as TALES OF SUSPENSE (1963) #43),,
8687,1963,7,Fantastic Four Annual  #1,Fantastic Four Annual,http://i.annihil.us/u/prod/marvel/i/mg/9/f0/5ad769d1d8f70/portrait_uncanny.jpg,,Jack Kirby,"Dick Ayers, Steve Ditko",Art Simek,None,,
9792,1963,8,Journey Into Mystery  #95,Journey Into Mystery,http://i.annihil.us/u/prod/marvel/i/mg/7/30/5a7c677c5943f/portrait_uncanny.jpg,,,,,"Dr. Zaxton is causing trouble with his duplicator ray. Can Thor stop him, or is he doomed to become one of many Thunder Gods?!",,
11030,1963,8,Strange Tales  #111,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/57bde6166f1e3/portrait_uncanny.jpg,Stan Lee,,"Dick Ayers, Steve Ditko",Sam Rosen,"The First Appearance of Baron Mordo!  Men call him Dr. Strange and speak his name in whispers.  But there is another who is more dreaded.  Meet Dr. Strange's arch-foe, the dreaded Baron Mordo!",,
11389,1963,8,Tales to Astonish  #46,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/3/70/536d667c3141e/portrait_uncanny.jpg,Stan Lee,,Don Heck,Sam Rosen,"There's been a recent lull in crime, so Ant-Man and Wasp decide to vacation in Greece! But what began as a retreat quickly becomes a super hero smack down; Ant-Man and Wasp take on the mythological Cyclops!",,$40.00
11287,1963,9,Tales of Suspense  #45,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/5e398d145c7f0/portrait_uncanny.jpg,"Robert Bernstein, Stan Lee",Larry Lieber,Don Heck,"Sam Rosen, Art Simek","The First Appearance of Pepper Potts and Happy Hogan!  Happy Hogan and Pepper Potts join the cast, and Jack Frost is there to give them a COLD welcome! All part of the job when you work for Iron Man!",,$150.00
12983,1963,9,Fantastic Four  #18,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/4/c0/5aa9854d88976/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Dick Ayers,"Art Simek, Artie Simek",None,,
9793,1963,9,Journey Into Mystery  #96,Journey Into Mystery,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/5a7c6dda44882/portrait_uncanny.jpg,,,,,Thor defies the magic of Mad Merlin!,,$100.00
